food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated
"Cheese, swiss",0.31,0.19037656903765693,0.0144,0.3057065217391305,0.0,0.43629901144063093
"Figs, dried, uncooked",0.0092,0.0,0.639,0.037364130434782615,0.12405063291139241,0.30778629345773634
"Lettuce, cos or romaine, raw",0.0026000000000000003,0.0,0.032400000000000005,0.01403985507246377,0.02278481012658228,0.022548039542374766
"Melons, cantaloupe, raw",0.0018,0.0,0.0816,0.009284420289855074,0.010126582278481013,0.04165278240586471
"Oranges, raw, navels",0.0015,0.0,0.11800000000000001,0.01030344202898551,0.02531645569620253,0.05798067310896368
"Pears, raw, bartlett",0.0016,0.0,0.151,0.004302536231884059,0.039240506329113925,0.07042097078751527
"Restaurant, Chinese, sweet and sour pork",0.136,0.028033472803347285,0.255,0.1005434782608696,0.012658227848101266,0.28868155059424633
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.0008,0.0005125523012552302,0.0492,0.03883605072463769,0.0,0.03787626346773298
"Sauce, salsa, ready-to-serve",0.0019,0.0,0.0674,0.01630434782608696,0.02278481012658228,0.038209485726979894
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0.019,0.011610878661087868,0.049,0.03804347826086957,0.0,0.05564811729423526
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0.287,0.1182008368200837,0.0337,0.15058876811594207,0.0,0.3609907808508275
"Sausage, Italian, pork, mild, cooked, pan-fried",0.262,0.09571129707112973,0.0215,0.20606884057971017,0.0,0.3523270021104076
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.281,0.09884937238493724,0.0263,0.21852355072463772,0.0,0.3783183383316672
"Milk, whole, 3.25% milkfat, with added vitamin D",0.032,0.019456066945606698,0.0463,0.037024456521739135,0.0,0.0670887481950461
"Sausage, turkey, breakfast links, mild, raw",0.10400000000000001,0.026464435146443515,0.009300000000000001,0.18908514492753625,0.0,0.18227257580806397
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0.11599999999999999,0.031066945606694568,0.0,0.3068387681159421,0.0,0.2363656558924803
"Ham, sliced, restaurant",0.0368,0.013075313807531382,0.0236,0.2219202898550725,0.0,0.13439964456292347
"Broccoli, raw",0.0034000000000000002,0.00040794979079497915,0.06269999999999999,0.029098731884057972,0.030379746835443037,0.042652449183605466
"Eggs, Grade A, Large, egg white",0.0,0.0,0.0236,0.12115036231884059,0.0,0.05798067310896368
"Eggs, Grade A, Large, egg whole",0.09960000000000001,0.03347280334728034,0.0096,0.1403985507246377,0.0,0.15894701766077973
"Pork, cured, bacon, cooked, restaurant",0.365,0.13179916317991633,0.021,0.4630887681159421,0.0,0.5559258025102743
"Onions, red, raw",0.001,0.0,0.0993,0.010643115942028986,0.027848101265822787,0.04931689436854382
"Onions, yellow, raw",0.0005,0.0,0.0861,0.009397644927536232,0.024050632911392405,0.04243030101077419
"Bananas, overripe, raw",0.0022,0.0,0.201,0.008265398550724638,0.021518987341772152,0.09474619571254025
"Bananas, ripe and slightly ripe, raw",0.0029,0.0,0.23,0.008378623188405798,0.021518987341772152,0.10840830834166389
"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",0.13240000000000002,0.030763598326359835,0.4118,0.06657608695652174,0.015189873417721518,0.34144174164167496
"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",0.1127,0.033995815899581595,0.5342,0.04913949275362319,0.01772151898734177,0.36932133733200045
"Waffles, buttermilk, frozen, ready-to-heat",0.0922,0.01985355648535565,0.4105,0.07450181159420291,0.027848101265822787,0.3037876263467733
"Waffle, buttermilk, frozen, ready-to-heat, toasted",0.0949,0.023797071129707116,0.4839,0.0840126811594203,0.03291139240506329,0.3428857047650783
"Waffle, buttermilk, frozen, ready-to-heat, microwaved",0.094,0.021516736401673644,0.4416,0.07835144927536233,0.030379746835443037,0.3208930356547817
"Waffle, plain, frozen, ready-to-heat, microwave",0.09910000000000001,0.016527196652719667,0.45409999999999995,0.07597373188405798,0.030379746835443037,0.330667555259358
"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",0.2483,0.0522907949790795,0.643,0.05774456521739131,0.024050632911392405,0.5565922470287682
"Pie Crust, Cookie-type, Chocolate, Ready Crust",0.2242,0.04942468619246862,0.6448,0.06884057971014494,0.03417721518987342,0.5375985782516939
